,text,val,index
0,"Google cancels future funding towards closing the education gap.



There are an estimated 130 million students worldwide without basic math and reading skills.  Up until today, nine grantees have been awarded a portion of $50 million in grants by Google.org, Google's philanthropic arm, to help combat this illiteracy.  Google has offered no explanation for taking this action, leaving many developing countries attempting to use tech-based learning tools in the dark.  Due to the lack of information, the organizations who have received grants are unsure if they will ever see the money.  Google did not immediately respond to requests for comment.",fake,0
1,"Sienna Miller praises script for new role

Sienna Miller has high praise for the director and script writer of her new film - Lost City of Z. She plays the role of loyal and supportive wife to Amazon explorer Percy Fawcett (played by Charlie Hunnam), who searches for a mysterious lost city in this adaptation of a true story. Her sense of commonality with the character led her to present the director with a hand copied segment of the script, which the director subsequently framed as a testament to Sienna.",fake,1
2,"Moderator Chris Wallace sat , horrified at Wednesday night's debate between Clinton and Trump. Despite Clinton's bleeding heart , blow hard style, she was unable to solidify the yet undecided voter. Questions that were taken from the audience prior to the town hall style debate where peppered with several topics including healthcare, her inaction in regards to Benghazi, and leaked emails. Clinton became visibly frustrated when questioned as to whether or not she would dismantled NAFTA. But Donald was not without his own issues, when asked what kind of dog he would have in the White House if elected, he said he and the First Family would put it to a vote, but he didn't know if he would accept the results if the vote was rigged against him. He prefers pit bulls.",fake,2
3,"Dan Moss and Scott Lanman golf every week at St. Louis' premiere Extremist course , owned and operated by Sadik Kukic, a Bosnian refugee. Kukic came to the USA in 1993 on a student visa and has never left. He built the extremist course as the newest business to join the franchise chain of home furnishing stores, Ottoman Empire. Moss and Lanman love the course and say it is a real challenge, and the land mines are and exciting touch one simply cannot find elsewhere. Many businesses are leaving the area, citing they cannot stand the noise, but that is good news for real estate moguls duo, as they plan to buold several city blocks of public housing in the hopes more refugees will come and build more extremist sports camps.",fake,3
4,"Machine Learning Opens Up New Ways to Help People in Prison



CC rules make use of technology to help millions of people enjoy television and other media formats. Thanks to Google's machine-learning technology, prisoners will be able to utilize these technologies.. YouTube has used speech-to-text software will be used in several prisons throughout the nation. Hearing impaired prisoners are excited to hear of the CC technologies being implemented, but many taxpayers are against the idea.",fake,4
5,"Rapper Wiz Khalifa suprises his critics with his comments when visiting Pablo Escobar's grave

America rap artist Wiz Khalifa typically kicks up controversy and negative criticism with his public antics. However, this was not the case when he visited the late Colombian drug lord Pablo Escobar's property and burial place. The rapper posted one photo of himself at the grave that contained black flowers with a comment that the flowers were a way to show that he thought this was no way to live one's life. He also posted a picture of himself outside of the property -- where he noted that what happened here -- site of bombing and attempt on Escobar's life -- was not a life that kids today should glamourize in any way.",fake,5
6,"H-1B - You're Fired!



Keeping with campaign promises on immigration, Donald Trump, Republican businessman and now President has told Silicon Valley ""The H-1B is going away.  It just is.  It's not good for America, it's not good for Americans.  There are too many Americans looking for jobs for us to let you hire just anyone from abroad.""  Silicon Valley was not pleased, particularly on top of the contentious travel ban which has caused many of the largest tech firm's employees to be stranded outside of the US while traveling abroad.  Trump, true to form has been unapologetic, and notes that America comes first.",fake,6
7,"Lebron James suffered severe windburn to his face in the game against Charlotte Hornets on Friday.  Ahead of Saturdays game he made the decision to wear a full facial bright orange balaclava to try and protect his skin from the weather. Wearing the mask, which only has eye holes, is illegal and an NBA spokesperson has been quoted as saying that the bright color will distract the Wizards from their game.",fake,7
8,"Instagram adds two-factor authentication, security features

Instagram just made your account harder to hack.

On Thursday, Instagram added two-factor authentication to the photo- and video-sharing social network, increasing security measures for its 600 million active users.

You can activate two-factor authentication by going to your settings and turning on the feature.

Twitter, Facebook and Google already offer two-factor authentication.",legit,8
9,"Tomb Raider: First pic of Alicia Vikander as Lara Croft released

It's dusty work being a Tomb Raider  as the first picture of Alicia Vikander as Lara Croft reveals. The Swedish Oscar-winner takes over from Angelina Jolie in the latest film to be drawn from the popular video game franchise. Described as a reboot  the film is said to be an origins tale drawn from the plot of the Tomb Raider game released in 2013. Directed by the fabulously named Roar Uthaug  it's due out in March 2018. Vikander  who won an Oscar for The Danish Girl  describes Lara as ""a truly iconic character"" who acts as ""a model for many young women"". ""She's trying to carve out her place in the world and connect her future with her past  the 28-year-old told Vanity Fair. Norwegian director Uthaug said the film - which also stars Dominic West as Croft's father - would focus not only on Lara's strength and physical accomplishments but her humanity"".",legit,9
10," Hedge fund exec whose former firm was linked to Madoff jumps to his death

Charles Murphy was found dead on the fourth-floor terrace of the Sofitel hotel on Monday  according to a police source. ""We are extremely saddened by this news  said John Paulson, the president of Paulson & Co., a separate hedge fund where Murphy worked at the time of his death. Charles was an extremely gifted and brilliant man  a great partner and a true friend."" Murphy once worked for Fairfield Greenwich  which invested about $7 billion with Madoff and was later sued by investors who lost money. The fund agreed to an $80 million settlement. Madoff was arrested in December 2008 for running the world's largest Ponzi scheme and defrauding investors of $20 billion. He pleaded guilty to fraud charges. Now 78  he is serving 150 years in a federal prison in North Carolina.",legit,10
11,"American Airlines ties up partnership with China Southern

American Airlines and China's biggest carrier by passengers  China Southern  have agreed a strategic partnership. The US airline will buy $200m (Â£159m) worth of shares in the Chinese firm and the two will ""seek to increase cooperation"". China Southern is the latest of China's top airlines to bring in an investor from outside the mainland. The deal should offer American Airlines more possibilities to tap into China's growing aviation market. China is one of the biggest sources of tourists to the US  with Chinese carriers aggressively expanding their fleets and range of overseas destinations to cater to the strong growth in traveller numbers.",legit,11
12,"This Teacher Has Personalized Handshakes For All 40 Of His Students

A 5th grade teacher in Charlotte, North Carolina knows education alone isn't necessarily enough to get his students excited for class. So he's using personalized handshakes instead. 

Barry White Jr., an English teacher at Ashley Park PreK-8 School, gives personalized greetings (most of which are intermingled with dance moves) to all 40 of his students. News of his interactions originally went viral in September when the Charlotte-Mecklenburg School District posted the video to their Facebook page.",legit,12
